省份,建筑类型,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
北方,多层办公,20.91,20.62,20.33,20.04,19.75,19.46,19.17,18.88,18.59,18.3,18.02,17.73,17.44,17.15,16.86,16.58
北方,多层住宅,2.67,2.61,2.55,2.49,2.43,2.38,2.32,2.26,2.2,2.14,2.09,2.03,1.97,1.91,1.85,1.8
北方,高层办公,30.75,30.37,30,29.63,29.25,28.88,28.51,28.13,27.76,27.39,27.02,26.64,26.27,25.9,25.52,25.16
北方,高层住宅,5.5,5.37,5.25,5.13,5,4.88,4.76,4.63,4.51,4.39,4.27,4.14,4.02,3.9,3.77,3.66
北方,旅馆,43,42.38,41.77,41.15,40.54,39.92,39.31,38.69,38.08,37.46,36.85,36.23,35.62,35,34.39,33.77
北方,商场,101.4,100.89,100.39,99.88,99.38,98.87,98.37,97.86,97.36,96.85,96.35,95.84,95.34,94.83,94.33,93.83
南方,多层办公,45,44.36,43.73,43.1,42.46,41.83,41.2,40.56,39.93,39.3,38.67,38.03,37.4,36.77,36.13,35.5
南方,多层住宅,8.64,8.41,8.18,7.96,7.73,7.51,7.28,7.05,6.83,6.6,6.38,6.15,5.92,5.7,5.47,5.25
南方,高层办公,52.54,51.7,50.86,50.02,49.18,48.34,47.5,46.66,45.82,44.98,44.15,43.31,42.47,41.63,40.79,39.95
南方,高层住宅,10.55,10.32,10.09,9.86,9.63,9.4,9.17,8.94,8.71,8.48,8.26,8.03,7.8,7.57,7.34,7.12
南方,旅馆,73.5,72.24,70.98,69.72,68.47,67.21,65.95,64.7,63.44,62.18,60.93,59.67,58.41,57.15,55.9,54.64
南方,商场,169.4,167.98,166.57,165.16,163.75,162.34,160.93,159.52,158.11,156.7,155.29,153.87,152.46,151.05,149.64,148.24
中部,多层办公,25.6,25.53,25.46,25.39,25.32,25.25,25.18,25.11,25.04,24.97,24.9,24.83,24.76,24.69,24.62,26.65
中部,多层住宅,6.3,6.08,5.87,5.66,5.44,5.23,5.02,4.8,4.59,4.38,4.17,3.95,3.74,3.53,3.31,3.1
中部,高层办公,37.4,36.95,36.51,36.06,35.62,35.17,34.73,34.28,33.84,33.39,32.95,32.5,32.06,31.61,31.17,30.73
中部,高层住宅,5.64,5.52,5.4,5.28,5.16,5.04,4.92,4.8,4.68,4.56,4.45,4.33,4.21,4.09,3.97,3.85
中部,旅馆,53.8,52.83,51.86,50.89,49.92,48.95,47.98,47.01,46.04,45.07,44.11,43.14,42.17,41.2,40.23,39.26
中部,商场,147.4,146.29,145.19,144.08,142.98,141.87,140.77,139.66,138.56,137.45,136.35,135.24,134.14,133.03,131.93,130.83
