省份,建筑类型,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
北方,多层办公,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8
北方,多层住宅,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17
北方,高层办公,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6
北方,高层住宅,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87
北方,旅馆,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04
北方,商场,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01
南方,多层办公,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8
南方,多层住宅,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17
南方,高层办公,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6
南方,高层住宅,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87
南方,旅馆,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04
南方,商场,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01
中部,多层办公,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8
中部,多层住宅,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17,23.17
中部,高层办公,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6
中部,高层住宅,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87,21.87
中部,旅馆,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04
中部,商场,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01,13.01
