省份,建筑类型,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
北方,多层办公,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
北方,多层住宅,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2,19.2
北方,高层办公,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
北方,高层住宅,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7,18.7
北方,旅馆,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8
北方,商场,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1,23.1
南方,多层办公,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
南方,多层住宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南方,高层办公,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
南方,高层住宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
南方,旅馆,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2
南方,商场,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
中部,多层办公,6.4,7.31,8.22,9.13,10.04,10.95,11.86,12.77,13.68,14.59,15.5,16.41,17.32,18,18,18
中部,多层住宅,6.3,7.21,8.12,9.03,9.94,10.85,11.76,12.67,13.58,14.49,15.4,16.31,17.22,18.13,19.04,19.2
中部,高层办公,20,20.91,21.82,22.73,23.64,24.55,25.46,26.37,27.28,28.19,29.1,30.01,30.92,31.83,32.74,33.65
中部,高层住宅,5.5,6.41,7.32,8.23,9.14,10.05,10.96,11.87,12.78,13.69,14.6,15.51,16.42,17.33,18.24,18.7
中部,旅馆,67.6,68.51,69.42,70.33,71.24,72.15,73.06,73.97,74.88,75.79,76.7,77.61,78.52,79.43,80.34,81.25
中部,商场,2.4,3.31,4.22,5.13,6.04,6.95,7.86,8.77,9.68,10.59,11.5,12.41,13.32,14.23,15.14,16.05
